user,total_amount,liquid_amount,vested_amount
0x7b52405200a1933d4bbfb8320746b9daeec1c19e,2262000000000000000000,361000000000000000000,1901000000000000000000
0x225c4cfc17d5ee7bf3e682396b12c0f6a7709d7d,2245000000000000000000,359000000000000000000,1886000000000000000000
0x9824697f7c12cabada9b57842060931c48dea969,2226000000000000000000,356000000000000000000,1870000000000000000000
0xb817f347cc5dc77dabeb45dc071dc4ca80b28e16,2233000000000000000000,357000000000000000000,1876000000000000000000
0xd901a5f06bcc6f6b03f1b4f079c141312f003d81,2246000000000000000000,359000000000000000000,1887000000000000000000
0x4ecb77536383295cf1d6191855f4c24e7c5e034c,2175000000000000000000,348000000000000000000,1827000000000000000000
0x4d1cdd8a0413198da7afae09bb6508d07dd355d4,2139000000000000000000,342000000000000000000,1797000000000000000000
0x66868063298b74a68e0db77a99c93337d94d4b6f,2154000000000000000000,344000000000000000000,1810000000000000000000
0x7a12f8072667a18092e90fc6485d468caaa2179f,2190000000000000000000,350000000000000000000,1840000000000000000000
0x794caa8f38a9748b529a3c359d74ef50bdfa2f5e,2159000000000000000000,345000000000000000000,1814000000000000000000
0x4f3e8913185594d5e9735c5aa9cae9dea9312b24,2185000000000000000000,349000000000000000000,1836000000000000000000
0x8e59c1387935d98347deba74b91533b132c4c36e,2199000000000000000000,351000000000000000000,1848000000000000000000
0xb0eb446549edc2962b95017124a49b5c40e174fd,2197000000000000000000,351000000000000000000,1846000000000000000000
0xe4b7538c2e2bc683a3e84ea67aded2dff6c8cef5,2100000000000000000000,336000000000000000000,1764000000000000000000
0x7c041d0ea408ab7c4e456a054ccfbbb3e7a3c83f,2136000000000000000000,341000000000000000000,1795000000000000000000
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,2095000000000000000000,335000000000000000000,1760000000000000000000
0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96,2107000000000000000000,337000000000000000000,1770000000000000000000
0x23d7c2fb9f163441874d72399b28d677f47020b0,2097000000000000000000,335000000000000000000,1762000000000000000000
0xf6af31547b59022dd42aecd399817a7f5dbb86aa,2091000000000000000000,334000000000000000000,1757000000000000000000
0xc3ee54ae29e70ea919537d77db69641f6b445fb7,2121000000000000000000,339000000000000000000,1782000000000000000000
0xd937b707737b81d1da49a0995f93f77cdf0e4608,2065000000000000000000,330000000000000000000,1735000000000000000000
