user,total_amount,liquid_amount,vested_amount,tx
0x9a6fc32bdaab8a7767db3d46a297972dcb51f980,645000000000000000000,103000000000000000000,542000000000000000000,0x5f650c0d0a152c80756de9ff02d61418ce3b2c758da677c591d894787a28ccf8
0x722ef5ccb805ea9b81ce60d4f4f77e74bead8cb0,646000000000000000000,103000000000000000000,543000000000000000000,0x1f5b132cb63afd032ef8757bcc9afc0b91917e8f00c588a1e3b3fda410218f1d
0x312784d86eebc9f785edd98728bb3713096d2e20,647000000000000000000,103000000000000000000,544000000000000000000,0x1483e54b6fd9ef7e3326acd5e67e0909a75af736905ed8dfb6f834bfc2381177
0xc86fb1d011e123e16f008f82020938e389d99770,647000000000000000000,103000000000000000000,544000000000000000000,0x812b3c4d491006175e9ffcc09eff640442d75bb812f8425ba45117d2ffb0c8fa
0x855edb84b94ce230911c9d5d2c9cae3273c719e2,643000000000000000000,102000000000000000000,541000000000000000000,0x8427b12d6325afab89e73629cf7d4a83282dc7c21e71ed391997c56cad17307f
0x23a1da2e4306c0115e6d8e25bc9398e8ecbba474,644000000000000000000,103000000000000000000,541000000000000000000,0xea14d469ccab4cd4a26ff73183af577fac7ee8d5afd7dea4f8e0f8fed156e24c
0x31499b7e5251a80260fe70b6737c3de43869b2b3,644000000000000000000,103000000000000000000,541000000000000000000,0xdea211932a776af76b54c579f69d3c6257a9626bebc442ce4e5f49186efe296f
0x453e8af62bfe737a0e05125020da45f17156a1f9,642000000000000000000,102000000000000000000,540000000000000000000,0x34b9cc24ef51a9ebc6427a741e82e0c5e1848f3e892eb18b4d0fffdd4c238ee3
0x7e92abe662ae4ba33befac0ab635bd8c20243589,640000000000000000000,102000000000000000000,538000000000000000000,0x7e8e008df497ecdacdb0984f1cd0b02b4d0420507028d00b9add98671bae0178
0xab2eccf82a5b66396419da7a6e9fbf6630bb7521,640000000000000000000,102000000000000000000,538000000000000000000,0x0e6633c35132b2ad336494a196e0b8c75e572c14ae755768e5c5f5830167b7a4
0x71b967253976da70de8fa1be11cda4b45a7c1034,640000000000000000000,102000000000000000000,538000000000000000000,0x280fc088760eef1a0a258446ca9ec91938e8b3d1b624c5045d034f2635588a18
0x86908bc7b26c0c5a0bc7ccaaa786db3f68528852,640000000000000000000,102000000000000000000,538000000000000000000,0xd17ec1cf297fa3960ee59e2fec454f17635ba25d330a4b733332e6cd93cb703d
0x62416ad97ad8700edb9a229bc3cce7d2913982fe,636000000000000000000,101000000000000000000,535000000000000000000,0xfe096468eb217ba115cd4bbcf75862d0e0298e685867c5ab21876ed17e0c712a
0x02c16b9427756d88fe090d9915c5b02e488603ee,637000000000000000000,101000000000000000000,536000000000000000000,0x881b42db96aa65d3e1706e2f602372a1c2c3de79fb16a64296461cd4c2bbc3e0
0x68b1d41334aa507685d339ea8b2c486a27c22e5c,636000000000000000000,101000000000000000000,535000000000000000000,0x575279bb618a9fe21629ea7277282376d5e71d24d6b028b31adc02ee39b082d2
0xe767023724a0c9829ac11efeaa9f83d1ab79525f,634000000000000000000,101000000000000000000,533000000000000000000,0xb39ce14fcccb842f7f4ed7ae1b880b3f88e0367a76c4346b608575f44ed39f14
0xc0a7fb8d87e7522db0bb540b586fbfe731b8e04c,632000000000000000000,101000000000000000000,531000000000000000000,0x97c48c53c690ef3d4cbfed12552cef17017d6c3ed4031a41d91ca5d21b81bd2d
0x7c00393ab2e228389b8d26d7cd93c9810389670b,633000000000000000000,101000000000000000000,532000000000000000000,0x3593e82fcd786a19bfbde5a0f3e7d2eb303e20b0b2cd9a25ea30c204dea99cea
