user,total_amount,liquid_amount,vested_amount
0xd14e063678c9fb6ebcdf95e24d2d4a72c8929166,17441000000000000000000,2790000000000000000000,14651000000000000000000
0x2a9c628f9b1b06a881407ae457ffb0e51fb7e752,12805000000000000000000,2048000000000000000000,10757000000000000000000
0x59ab3394089ef8827af881ddc43c54e090e5c95c,12979000000000000000000,2076000000000000000000,10903000000000000000000
0xeef2b441c6408dbbe65ef8afb5b982c9e5361071,15641000000000000000000,2502000000000000000000,13139000000000000000000
0xeeb0abf0c8b866bba8eec2ff37fb9422842efae8,15510000000000000000000,2481000000000000000000,13029000000000000000000
0x1a3c4e9b49e4fc595fb7e5f723159ba73a9426e7,14232000000000000000000,2277000000000000000000,11955000000000000000000
0xd3a9dccb4cfd983ff69e688ddb6491e010301b7a,13833000000000000000000,2213000000000000000000,11620000000000000000000
0x795fe6f884eb7599abfa814aea3cb8d0b3cc47c2,18567000000000000000000,2970000000000000000000,15597000000000000000000
0x9d0307dc8dc7ed9ae12f820ee48a469f6554a032,16611000000000000000000,2657000000000000000000,13954000000000000000000
0x4f0a01badaa24f762cee620883f16c4460c06be0,18405000000000000000000,2944000000000000000000,15461000000000000000000
0x3f934ce46111cade18ba29e3341a1210c096db72,13033000000000000000000,2085000000000000000000,10948000000000000000000
0xa582c011842e4aa4d3e3578128dd9851c5846a5c,12926000000000000000000,2068000000000000000000,10858000000000000000000
0x08aba4a72d866c1fc1dda72508e0cd47388304ac,15604000000000000000000,2496000000000000000000,13108000000000000000000
0xcaaf6515b7a9fdbbb652914c134818161ed34ca5,12557000000000000000000,2009000000000000000000,10548000000000000000000
0xe67e43b831a541c5fa40de52ab0afbe311514e64,15747000000000000000000,2519000000000000000000,13228000000000000000000
0x49721ffade4500a0b0d1b8e6c5ba938e0ee2985e,13496000000000000000000,2159000000000000000000,11337000000000000000000
0x95ce459b20586cf44ee6d295c4f28e1a134cf529,13336000000000000000000,2133000000000000000000,11203000000000000000000
0x41e93efa2917143b3122ca00be1b757bb838b6e8,13848000000000000000000,2215000000000000000000,11633000000000000000000
0xe8faa2cd945de68d6e19df735ccb78ce985cbb90,13848000000000000000000,2215000000000000000000,11633000000000000000000
0x8df175aba312ce90aa03f636573ca99c29fbb9d0,13848000000000000000000,2215000000000000000000,11633000000000000000000
0xbd7170971505828f17a48f0177f9203da7b57d14,12657000000000000000000,2025000000000000000000,10632000000000000000000
0x3272e63e566f77501c3df95944dab52cbc7087de,20556000000000000000000,3288000000000000000000,17268000000000000000000
0x4284be053786ab7fcb7d89a5271c013250e69e04,13284000000000000000000,2125000000000000000000,11159000000000000000000
0xd5adbd2614cc0bf6e32b2dc8db306b832f599f12,14823000000000000000000,2371000000000000000000,12452000000000000000000
0x6205473922f80379fb699f97e93a8cece7959b77,18742000000000000000000,2998000000000000000000,15744000000000000000000
0xf9b9208a194deaa9337e596d0a181fdc43b6b6c3,14454000000000000000000,2312000000000000000000,12142000000000000000000
0x4059e94f431b2c48373c3cf962b257b7a4b1dc63,13240000000000000000000,2118000000000000000000,11122000000000000000000
0x1966f413b97c5c114e5c5474c95ebecc28536e06,18804000000000000000000,3008000000000000000000,15796000000000000000000
0xe08526a7b4964dcc050d57b205dd81b390d07159,19363000000000000000000,3098000000000000000000,16265000000000000000000
0xf95e470046c2735da5c5b971c418b12f954ab668,18526000000000000000000,2964000000000000000000,15562000000000000000000
0x98e4aab238df2ff4ed9090eb49c0af1d95b40724,17704000000000000000000,2832000000000000000000,14872000000000000000000
0xd92293daca6bbed57f8cb6d498b48ea93e035e99,12823000000000000000000,2051000000000000000000,10772000000000000000000
0x044a9c43e95aa9fd28eea25131a62b602d304f1f,14590000000000000000000,2334000000000000000000,12256000000000000000000
0x0ab2cc2a0581245188a5f1c242dd4bf288cf9da0,20055000000000000000000,3208000000000000000000,16847000000000000000000
0x2ea7cce60d849870aa21659190cc747ede2beba1,15293000000000000000000,2446000000000000000000,12847000000000000000000
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,13626000000000000000000,2180000000000000000000,11446000000000000000000
